dataset,model,reward,return,CVaR,MDD,train_time_s,n_runs,source,algo,promoted,reward_baseline,reward_candidate,reward_delta,return_baseline,return_candidate,return_delta,CVaR_baseline,CVaR_candidate,CVaR_delta,MDD_baseline,MDD_candidate,MDD_delta,train_time_baseline_s,train_time_candidate_s,train_time_delta_s,tuned_lambda_cvar,check_primary,check_secondary,check_cvar,check_mdd,check_seed_consistency,gate_source,delta_reward_with_minus_no,delta_return_with_minus_no,delta_CVaR_with_minus_no,delta_MDD_with_minus_no,experiment,tuning_phase3_episodes,eval_episodes,alpha,epsilon_decay,epsilon_min,return_delta_vs_baseline,reward_delta_vs_baseline,cvar,cvar_delta_vs_baseline,mdd,mdd_delta_vs_baseline,train_seconds,train_seconds_delta_vs_baseline,seed_consistency_passed,round
xlf_main_conclusion.csv,Baseline(with_cvar),0.8321054351812978,1.1428270807941532,0.0266122172564627,-0.2580533279418687,0.0,5.0,runs_xlf_baseline/q_learning/with_cvar/*/baseline_metrics.json (buy_hold),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xlf_main_conclusion.csv,"q_learning (with_cvar, baseline cfg)",0.1335774559201705,0.3057992952329397,0.0072045363411997,-0.0777003249285313,34.57651325819315,5.0,"runs_xlf_baseline/suite_summary.csv [algo=q_learning,tag=with_cvar]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xlf_main_conclusion.csv,"nstep_sarsa V2 (with_cvar, tuned)",0.5209719687123192,0.7303149864709415,0.0205392918617303,-0.1906883492750625,33.104921000008474,5.0,/Users/benjaminzth/Desktop/Courses/EE473DeepRL/RL/runs/tuned_best_xlf_v2_eval_ns/20260226_235914/suite_summary.csv [algo=nstep_sarsa],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xlf_sync_gate.csv,,,,,,,,,q_learning,False,0.1335774559201705,0.589762155988893,0.4561847000687225,0.3057992952329397,0.9257110535199232,0.6199117582869835,0.0072045363411997,0.0254870348452299,0.0182824985040301,-0.0777003249285313,-0.2485648387485261,-0.1708645138199948,34.57651325819315,32.47425738319289,-2.10225587500026,0.02,True,True,False,False,True,report/xlf/iteration_gate_sync_r1_q/promotion_decision.json,,,,,,,,,,,,,,,,,,,,
xlf_sync_gate.csv,,,,,,,,,sg_sarsa,False,0.1311544834561003,0.1685537649604375,0.0373992815043372,0.3310506266300729,0.3960866160868913,0.0650359894568184,0.0093694363052614,0.0147093161965971,0.0053398798913357,-0.0985082255734187,-0.1630603089777123,-0.0645520834042936,28.39519697520882,29.09851446679095,0.7033174915821299,0.03,True,True,False,False,True,report/xlf/iteration_gate_sync_r1_sg/promotion_decision.json,,,,,,,,,,,,,,,,,,,,
xlf_sync_gate.csv,,,,,,,,,nstep_sarsa,True,0.4993069275107838,0.5209719687123192,0.0216650412015353,0.7067323796404887,0.7303149864709415,0.0235826068304527,0.0186661389467557,0.0205392918617303,0.0018731529149745,-0.1596488954445483,-0.1906883492750625,-0.0310394538305142,28.56431693340419,33.104921000008474,4.540604066604285,0.0025,True,True,True,True,True,report/xlf/iteration_gate_v2/promotion_decision.json,,,,,,,,,,,,,,,,,,,,
xlf_with_vs_no.csv,,,,,,,,,q_learning,,,,,,,,,,,,,,,,,,,,,,,,-0.0219589707793289,-0.0166725772723776,-0.0050494355742763,0.0284549810762981,,,,,,,,,,,,,,,,
xlf_with_vs_no.csv,,,,,,,,,sg_sarsa,,,,,,,,,,,,,,,,,,,,,,,,-0.4012614657556618,-0.4591040551525408,-0.0129020576801349,0.1227643786208577,,,,,,,,,,,,,,,,
xlf_with_vs_no.csv,,,,,,,,,nstep_sarsa,,,,,,,,,,,,,,,,,,,,,,,,-0.2075311662035816,-0.187904190799331,-0.0068851173051106,0.0819093547239195,,,,,,,,,,,,,,,,
sg_controlled_budget.csv,,0.1679627664182976,0.3461000211745427,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,report/xlf/iteration_gate_sg_ctrl_lrn/promotion_decision.json,,,,,sg_ctrl_lrn,120.0,120.0,0.015,0.95,0.01,0.0150493945444698,0.0368082829621972,0.0094615630990848,9.21267938234424e-05,-0.0984068544031686,0.00010137117025,55.02575254999101,26.630555574782193,True,
sg_controlled_budget.csv,,-0.1156886514251855,0.0341452484992935,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,report/xlf/iteration_gate_sg_ctrl_lrn_e200/promotion_decision.json,,,,,sg_ctrl_lrn_e200,200.0,200.0,0.015,0.95,0.01,-0.2969053781307793,-0.2468431348812858,0.0009199293964234,-0.0084495069088379,-0.0361967427898957,0.062311482783523,96.48613975860644,68.09094278339762,False,
sg_controlled_budget.csv,,0.0933259179803485,0.2794906371703479,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,report/xlf/iteration_gate_sg_ctrl_final/promotion_decision.json,,,,,sg_ctrl_final_guard_e200,200.0,200.0,0.03,0.98,0.12,-0.051559989459725,-0.0378285654757517,0.0066588509475991,-0.0027105853576622,-0.0766473633491807,0.0218608622242379,48.49627936682664,20.101082391617823,True,
sg_rounds_tradeoff.csv,,0.1685537649604375,0.3960866160868913,,,,,,,False,,,,,,,,,,,,,,,,,True,True,False,False,,report/xlf/iteration_gate_sync_r1_sg/promotion_decision.json,,,,,,,,,,,0.0650359894568184,0.0373992815043372,0.0147093161965971,0.0053398798913357,-0.1630603089777123,-0.0645520834042936,,,True,sg_sync_r1
sg_rounds_tradeoff.csv,,0.1679627664182976,0.3461000211745427,,,,,,,True,,,,,,,,,,,,,,,,,True,True,True,True,,report/xlf/iteration_gate_sg_ctrl_lrn/promotion_decision.json,,,,,,,,,,,0.0150493945444698,0.0368082829621972,0.0094615630990848,9.21267938234424e-05,-0.0984068544031686,0.00010137117025,,,True,sg_ctrl_lrn
sg_rounds_tradeoff.csv,,-0.1156886514251855,0.0341452484992935,,,,,,,False,,,,,,,,,,,,,,,,,False,False,True,True,,report/xlf/iteration_gate_sg_ctrl_lrn_e200/promotion_decision.json,,,,,,,,,,,-0.2969053781307793,-0.2468431348812858,0.0009199293964234,-0.0084495069088379,-0.0361967427898957,0.062311482783523,,,False,sg_ctrl_lrn_e200
sg_rounds_tradeoff.csv,,0.0933259179803485,0.2794906371703479,,,,,,,False,,,,,,,,,,,,,,,,,False,False,True,True,,report/xlf/iteration_gate_sg_ctrl_final/promotion_decision.json,,,,,,,,,,,-0.051559989459725,-0.0378285654757517,0.0066588509475991,-0.0027105853576622,-0.0766473633491807,0.0218608622242379,,,True,sg_ctrl_final_guard_e200
